Type, POC, QP, Total PSNR, Y PSNR, U PSNR, V PSNR, Frame Bits, BitRate
I_SLICE, 0, 20, 43.270, 43.389, 43.026, 43.058, 205664, 5141.600
I_SLICE, 1, 20, 43.296, 43.412, 43.053, 43.093, 211064, 5276.600
I_SLICE, 2, 20, 43.506, 43.620, 43.286, 43.284, 182224, 4555.600
I_SLICE, 3, 20, 43.666, 43.908, 43.195, 43.241, 168936, 4223.400
I_SLICE, 4, 20, 43.705, 43.977, 43.264, 43.151, 175024, 4375.600
I_SLICE, 5, 20, 43.585, 43.787, 43.207, 43.208, 178840, 4471.000
I_SLICE, 6, 20, 43.642, 43.711, 43.527, 43.488, 160856, 4021.400
I_SLICE, 7, 20, 43.449, 43.725, 42.919, 42.968, 187000, 4675.000
I_SLICE, 8, 20, 43.183, 43.218, 43.145, 43.084, 208288, 5207.200
I_SLICE, 9, 20, 43.149, 43.261, 42.802, 43.068, 210032, 5250.800
